                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8345,                 4.1083,                  1.617,                0.00345,                0.16667,                0.00463,                0.00046,                 1.6515,                 4.3346,                  1.727,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.0509,                 3.9803,                  1.637,                0.00283,                  0.625,                0.01923,                0.00256,                 1.6012,                 4.1932,                 1.6139,               0.095495,             0.00049505,             0.00049505
                      2,                 1.7466,                 3.8197,                 1.5809,                0.00327,                0.58333,                0.02643,                0.00618,                 1.4863,                  4.095,                 1.5407,               0.092784,             0.00078416,             0.00078416
                      3,                  1.719,                 3.7622,                 1.4716,                0.00387,                   0.75,                0.02454,                 0.0059,                 1.4111,                 3.9882,                 1.4164,               0.090067,              0.0010673,              0.0010673
                      4,                 1.4726,                 3.4438,                 1.3094,                0.00424,                0.70833,                0.03153,                0.00784,                 1.3467,                 3.9084,                 1.3208,               0.087345,              0.0013446,              0.0013446
                      5,                 1.6878,                 3.4676,                 1.5196,                0.00583,                      1,                0.03507,                0.01009,                 1.2546,                 3.8531,                  1.296,               0.084616,              0.0016158,              0.0016158
                      6,                 1.8923,                 3.3485,                 1.3397,                0.00581,                      1,                 0.0312,                0.01029,                 1.2387,                 3.7928,                  1.261,               0.081881,              0.0018812,              0.0018812
                      7,                 1.6668,                 3.0337,                 1.2921,                0.00582,                      1,                0.02935,                0.01032,                 1.2143,                 3.7104,                 1.2502,               0.079141,              0.0021406,              0.0021406
                      8,                 1.3732,                 2.7795,                 1.3137,                0.00586,                      1,                0.51228,                0.34877,                 1.1658,                 3.5254,                 1.2269,               0.076394,              0.0023941,              0.0023941
                      9,                 2.2533,                  3.027,                 2.3511,                0.00584,                      1,                0.59569,                0.34017,                 1.1665,                 3.4502,                 1.2149,               0.073642,              0.0026416,              0.0026416
                     10,                 1.5057,                 1.9831,                  1.195,                0.00583,                      1,                0.72688,                0.40187,                 1.2835,                 3.2887,                 1.2541,               0.070883,              0.0028832,              0.0028832
                     11,                 1.6502,                 2.1129,                 1.2257,                0.00583,                      1,                0.78875,                0.48562,                 1.3186,                 3.2854,                 1.2647,               0.068119,              0.0031189,              0.0031189
                     12,                  1.315,                 2.0314,                 1.2119,                0.00579,                      1,                 0.7482,                0.47471,                 1.2932,                 3.3044,                 1.2459,               0.065349,              0.0033486,              0.0033486
                     13,                 1.3467,                 1.6116,                  1.151,                0.00582,                      1,                0.73719,                0.47787,                  1.284,                 3.2098,                 1.2847,               0.062572,              0.0035723,              0.0035723
                     14,                 1.2724,                  1.599,                 1.1369,                0.52231,                0.66667,                  0.731,                0.48744,                 1.3389,                 3.1051,                  1.324,                0.05979,              0.0037902,              0.0037902
                     15,                 1.4463,                  1.606,                 1.2029,                 0.0051,                0.83333,                0.71237,                0.45406,                   1.46,                 3.0868,                 1.3818,               0.057002,              0.0040021,              0.0040021
                     16,                 1.4313,                 1.6019,                 1.1752,                      1,                0.27674,                0.84768,                0.35796,                  1.402,                  3.176,                 1.3371,               0.054208,               0.004208,               0.004208
                     17,                 1.4101,                 1.4204,                 1.1127,                      1,                0.31717,                0.76457,                0.43456,                 1.5233,                 3.0921,                 1.3829,               0.051408,               0.004408,               0.004408
                     18,                 1.2643,                 1.7257,                 1.4267,                      1,                0.39644,                0.80105,                0.39087,                  1.454,                 3.0485,                 1.4041,               0.048602,              0.0046021,              0.0046021
                     19,                 1.3091,                 1.4248,                 1.0998,                      1,                0.34484,                0.68527,                0.44048,                 1.3664,                 2.9556,                 1.3538,                0.04579,              0.0047902,              0.0047902
                     20,                 1.3411,                 1.5363,                 1.3564,                      1,                0.28227,                0.64133,                0.38199,                 1.3959,                 2.9607,                 1.4068,               0.042972,              0.0049724,              0.0049724
                     21,                 1.4206,                 1.3665,                 1.1459,                      1,                0.30995,                0.73583,                0.48788,                 1.3817,                 2.8931,                  1.403,               0.040149,              0.0051487,              0.0051487
                     22,                 1.3495,                 1.4842,                 1.1771,                      1,                0.34755,                0.74912,                0.44964,                 1.4008,                 2.8021,                 1.4023,               0.037319,               0.005319,               0.005319
                     23,                 1.7475,                 1.7267,                 1.5003,                      1,                0.40066,                 0.7475,                0.48415,                 1.3477,                 2.7747,                  1.374,               0.034483,              0.0054833,              0.0054833
                     24,                 1.3744,                 1.4515,                 1.1473,                      1,                0.42807,                0.84571,                0.47789,                 1.4762,                 2.6646,                 1.4411,               0.031642,              0.0056418,              0.0056418
                     25,                 1.5365,                 1.4359,                  1.213,                0.97182,                    0.5,                  0.874,                0.49309,                 1.4597,                  2.452,                 1.3699,               0.028794,              0.0057942,              0.0057942
                     26,                 1.3464,                 1.5712,                  1.138,                0.97673,                    0.5,                 0.9125,                0.48483,                 1.4451,                 2.3578,                 1.3705,               0.025941,              0.0059408,              0.0059408
                     27,                 1.2089,                 1.2138,                 1.1533,                      1,                0.49889,                 0.9125,                0.45775,                 1.5321,                  2.479,                 1.3829,               0.023081,              0.0060814,              0.0060814
                     28,                 1.2144,                 1.0534,                 1.1343,                      1,                0.49889,                 0.9125,                0.45775,                 1.5321,                  2.479,                 1.3829,               0.020216,              0.0062161,              0.0062161
                     29,                 1.1825,                 1.1657,                 1.1612,                0.96513,                    0.5,                 0.8245,                0.47789,                 1.4403,                 2.3825,                 1.3383,               0.017345,              0.0063448,              0.0063448
                     30,                 1.1279,                 1.0491,                 1.0089,                0.96819,                    0.5,                0.80643,                0.48389,                 1.4665,                 2.3465,                 1.3551,               0.014468,              0.0064676,              0.0064676
                     31,                  1.148,                 1.1246,                 1.0888,                0.95833,                    0.5,                0.80643,                0.50988,                  1.468,                 2.1156,                  1.396,               0.011584,              0.0065844,              0.0065844
                     32,                 1.2666,                 1.4387,                 1.1724,                0.95833,                    0.5,                0.80643,                0.50988,                  1.468,                 2.1156,                  1.396,              0.0086954,              0.0066954,              0.0066954
                     33,                 1.3334,                   1.21,                 1.1109,                      1,                0.49455,                0.84833,                0.45868,                 1.4915,                 2.3393,                 1.3837,               0.006733,               0.006733,               0.006733
                     34,                 1.1783,                 1.1265,                 1.0724,                  0.804,                0.66667,                 0.9125,                0.52946,                 1.4473,                 2.0117,                 1.3909,               0.006733,               0.006733,               0.006733
                     35,                 1.3211,                 1.2173,                 1.0915,                  0.883,                0.59938,                  0.764,                0.42818,                 1.5527,                 2.3526,                 1.4724,               0.006634,               0.006634,               0.006634
                     36,                 1.0998,                   1.05,                 1.1515,                  0.883,                0.59938,                  0.764,                0.42818,                 1.5527,                 2.3526,                 1.4724,               0.006535,               0.006535,               0.006535
                     37,                 1.2244,                 1.0787,                 1.1258,                      1,                0.42453,                0.74633,                0.33526,                 1.4945,                 2.4897,                 1.4105,               0.006436,               0.006436,               0.006436
                     38,                0.92677,                   1.03,                0.99089,                0.97655,                   0.25,                 0.3048,                0.17315,                 1.4492,                 2.2588,                 1.3792,               0.006337,               0.006337,               0.006337
                     39,                 1.3886,                 1.4113,                 1.3232,                0.85735,                  0.125,                0.29357,                0.10257,                 1.6804,                 2.2505,                  1.546,               0.006238,               0.006238,               0.006238
                     40,                 1.3129,                 1.1423,                 1.2671,                0.98405,                   0.25,                0.41647,                 0.1688,                 1.6804,                 2.2505,                  1.546,               0.006139,               0.006139,               0.006139
                     41,                 1.3234,                 1.1994,                 1.0467,                0.92218,                 0.4375,                0.97192,                0.45576,                 1.5323,                 2.1535,                 1.3996,                0.00604,                0.00604,                0.00604
                     42,                 1.3201,                 1.2835,                 1.1127,                      1,                0.48258,                 0.9125,                0.45646,                 1.5215,                 2.1732,                 1.3555,               0.005941,               0.005941,               0.005941
                     43,                 1.2779,                 1.2808,                 1.0448,                      1,                0.48957,                0.62601,                 0.3531,                 1.4912,                 2.2187,                 1.3489,               0.005842,               0.005842,               0.005842
                     44,                0.76156,                 3.1686,                0.74469,                      1,                0.48957,                0.62601,                 0.3531,                 1.4912,                 2.2187,                 1.3489,               0.005743,               0.005743,               0.005743
                     45,                 1.2897,                  1.615,                 1.1775,                      1,                0.49935,                0.60117,                0.37731,                 1.5179,                 2.0541,                 1.3867,               0.005644,               0.005644,               0.005644
                     46,                 1.3978,                 1.2137,                 1.1459,                 0.9612,                    0.5,                0.63647,                0.41004,                 1.4855,                 1.8974,                 1.3229,               0.005545,               0.005545,               0.005545
                     47,                 1.0213,                 1.0484,                 1.1273,                0.94528,                    0.5,                0.81821,                0.49311,                 1.4183,                  1.925,                 1.2656,               0.005446,               0.005446,               0.005446
                     48,                 1.0526,                0.95385,                 1.0217,                0.94528,                    0.5,                0.81821,                0.49311,                 1.4183,                  1.925,                 1.2656,               0.005347,               0.005347,               0.005347
                     49,                0.94058,                 1.0738,                0.90034,                 0.8666,                0.66667,                0.79287,                0.49201,                 1.4107,                 1.8807,                 1.2519,               0.005248,               0.005248,               0.005248
                     50,                 1.2484,                 1.2258,                  1.089,                0.82793,                0.66667,                0.74115,                0.46188,                  1.477,                 1.8844,                 1.3084,               0.005149,               0.005149,               0.005149
                     51,                 1.1045,                 1.0726,                   1.15,                      1,                0.43504,                0.62359,                0.40299,                 1.4666,                 2.2042,                 1.3961,                0.00505,                0.00505,                0.00505
                     52,                0.89211,                 2.0292,                0.98895,                      1,                0.43504,                0.62359,                0.40299,                 1.4666,                 2.2042,                 1.3961,               0.004951,               0.004951,               0.004951
                     53,                0.96126,                0.93818,                0.97711,                0.73146,                0.61247,                0.71938,                0.40379,                 1.4891,                  2.033,                 1.4583,               0.004852,               0.004852,               0.004852
                     54,                0.95303,                 1.4019,                 1.1199,                  0.728,                0.65458,                  0.705,                 0.3997,                  1.568,                 1.8035,                 1.5117,               0.004753,               0.004753,               0.004753
                     55,                 1.4887,                 1.7289,                 1.3301,                0.74053,                0.65789,                0.64893,                  0.419,                 1.4658,                 1.5616,                 1.3659,               0.004654,               0.004654,               0.004654
                     56,                 1.0621,                 1.0479,                 1.1022,                0.74053,                0.65789,                0.64893,                  0.419,                 1.4658,                 1.5616,                 1.3659,               0.004555,               0.004555,               0.004555
                     57,                 1.1895,                 1.1459,                 1.0449,                0.73799,                0.64587,                  0.645,                0.39479,                 1.4866,                 1.5089,                 1.3485,               0.004456,               0.004456,               0.004456
                     58,                 1.0478,                 0.9016,                 1.0102,                0.87132,                0.60417,                0.72315,                0.46831,                 1.3664,                 1.5333,                 1.3336,               0.004357,               0.004357,               0.004357
                     59,                 1.0106,                0.90156,                  1.023,                 0.7555,                 0.7833,                0.83905,                0.50172,                 1.4898,                 1.5867,                 1.3903,               0.004258,               0.004258,               0.004258
                     60,                0.98013,                 1.1218,                 1.0435,                 0.7555,                 0.7833,                0.83905,                0.50172,                 1.4898,                 1.5867,                 1.3903,               0.004159,               0.004159,               0.004159
                     61,                 1.0852,                 1.0293,                  1.098,                0.71598,                0.76206,                 0.8455,                 0.5194,                 1.4344,                 1.6054,                 1.3594,                0.00406,                0.00406,                0.00406
                     62,                0.71758,                  4.899,                 0.7032,                0.69513,                0.76079,                 0.8455,                0.49338,                 1.4377,                 1.5737,                 1.3594,               0.003961,               0.003961,               0.003961
                     63,                0.74933,                 1.2084,                0.97321,                0.72204,                0.85583,                0.90583,                0.50006,                 1.5234,                 1.5633,                 1.4635,               0.003862,               0.003862,               0.003862
                     64,                  1.134,                 1.1898,                 1.1649,                0.72204,                0.85583,                0.90583,                0.50006,                 1.5234,                 1.5633,                 1.4635,               0.003763,               0.003763,               0.003763
                     65,                 1.0212,                0.88413,                 1.0547,                 0.7684,                0.95267,                0.94708,                0.54937,                  1.477,                 1.4631,                 1.4486,               0.003664,               0.003664,               0.003664
                     66,                 1.1106,                 1.2181,                 1.1057,                0.96284,                0.83333,                0.95375,                0.51446,                 1.4585,                 1.4491,                 1.4418,               0.003565,               0.003565,               0.003565
                     67,                0.95424,                0.98015,                 0.9789,                0.95946,                0.83303,                  0.929,                0.52376,                  1.448,                 1.4104,                  1.443,               0.003466,               0.003466,               0.003466
                     68,                 1.2132,                 1.0535,                0.99913,                0.95946,                0.83303,                  0.929,                0.52376,                  1.448,                 1.4104,                  1.443,               0.003367,               0.003367,               0.003367
                     69,                 1.0543,                0.90573,                 1.0062,                0.97417,                0.83333,                  0.929,                0.51886,                 1.4747,                 1.3535,                 1.3858,               0.003268,               0.003268,               0.003268
                     70,                0.97877,                0.84485,                0.97393,                0.69896,                0.83333,                  0.874,                0.50501,                 1.5264,                 1.4256,                 1.3986,               0.003169,               0.003169,               0.003169
                     71,                 1.1694,                 1.4147,                 1.4578,                0.75505,                0.83333,                  0.874,                0.49475,                 1.5276,                 1.4436,                 1.4309,                0.00307,                0.00307,                0.00307
                     72,                0.96338,                0.93458,                 1.0389,                0.75505,                0.83333,                  0.874,                0.49475,                 1.5276,                 1.4436,                 1.4309,               0.002971,               0.002971,               0.002971
                     73,                0.84623,                 1.2272,                0.98547,                0.76468,                0.80245,                  0.874,                0.49988,                 1.5303,                 1.4211,                 1.4254,               0.002872,               0.002872,               0.002872
                     74,                  1.219,                 1.2596,                 1.4509,                0.77282,                0.80957,                  0.874,                0.47476,                  1.583,                 1.4039,                 1.4181,               0.002773,               0.002773,               0.002773
                     75,                0.91167,                0.99691,                 1.0324,                0.96004,                0.61373,                  0.863,                0.47113,                 1.5663,                 1.4172,                 1.4009,               0.002674,               0.002674,               0.002674
                     76,                 1.0877,                 1.0313,                 1.0516,                0.96004,                0.61373,                  0.863,                0.47113,                 1.5663,                 1.4172,                 1.4009,               0.002575,               0.002575,               0.002575
                     77,                0.81604,                0.91227,                0.90566,                0.92098,                0.61669,                  0.863,                0.47958,                  1.566,                 1.4685,                 1.3774,               0.002476,               0.002476,               0.002476
                     78,                0.97846,                 1.1262,                  1.188,                0.74662,                0.62731,                   0.83,                0.50156,                 1.5587,                 1.5196,                 1.3578,               0.002377,               0.002377,               0.002377
                     79,                0.99575,                 1.0075,                0.94398,                0.88579,                 0.6262,                   0.83,                0.48832,                 1.5118,                 1.5114,                 1.3495,               0.002278,               0.002278,               0.002278
                     80,                 1.0674,                0.95401,                 1.0745,                0.88579,                 0.6262,                   0.83,                0.48832,                 1.5118,                 1.5114,                 1.3495,               0.002179,               0.002179,               0.002179
                     81,                0.77492,                0.85453,                0.94801,                0.92397,                0.62684,                   0.83,                0.50433,                 1.5036,                 1.5405,                 1.3638,                0.00208,                0.00208,                0.00208
